ch,yue,yue-nn,yue-wz
耳提面命,ji tai min ming,ji tai min ming,ji tai min ming
耴,ngat,ngat,ngat
耵,ding,ding,ding
耶,je,je,je
耶哥尼雅,je go nei ngaa,je go ni ngaa,je go ni ngaa
耶撚,je nan,je nen,je naan
耷,daap,daap,daap
耷,dap,dap,dap
耸,sung,slung,sung
耸人听闻,sung jan ting man,slung jan ting man,sung jan ting man
耹,kam,kam,kam
耺,wan,wan,wan
耻,ci,ci,ci
耼,daam,daam,daam
耽,daam,daam,daam
耽,dam,daam,daam
耽人,dam jan,daam jan,daam jan
耽日子,dam jat zi,daam jat zi,daam jat zi
耽时候,dam si hau,daam si hau,daam si hau
耽时间,dam si gaan,daam si gaan,daam si gaan
耽時候,dam si hau,daam si hau,daam si hau
耽時間,dam si gaan,daam si gaan,daam si gaan
耽耽下,dam dam haa,daam daam haa,daam daam haa
耽雞,dam gai,daam gai,daam gai
耽鸡,dam gai,daam gai,daam gai
耾,wang,hung,kwang
耾,wang,wang,wang
耿,gang,gang,gang
耿,gwing,gang,gang
聀,zik,zik,zik
聁,paan,paan,paan
聂,nip,nip,nip
聂,sip,nip,nip
聃,daam,daam,daam
聄,can,can,can
聅,cit,cit,cit
聆,ling,ling,ling
聆听,ling teng,ling teng,ling ting
聆听,ling ting,ling ting,ling ting
聆聽,ling teng,ling teng,ling ting
聆聽,ling ting,ling ting,ling ting
聇,zing,zing,zing
聈,jau,jau,jau
聉,waat,waat,waat
聊,liu,liu,liu
聊以塞責,liu ji sak zaak,liu ji slak zaak,liu ji sak zaak
聊以塞责,liu ji sak zaak,liu ji slak zaak,liu ji sak zaak
聋,lung,lung,lung
职,zik,zik,zik
职业倦怠症,zik jip gyun toi zing,zik nip gyun doi zing,zik nip gyun doi zing
聍,ning,ning,ning
聎,tiu,tiu,tiu
聏,ji,ji,ji
聐,ngaat,daai,daai
聑,dip,dip,dip
聒,kut,gwaat,gwaat
聒,kut,gwet,gwaat
聓,sai,slai,sai
联,lyun,lyun,lyun
联,lyun,lim,lim
联,lyun,lin,lin
联合国难民事务高级专员办事处,lyun hap gwok naan man si mou gou kap zyun wan baan si cyu,lyun hap gok naan man si mu gu kap zyun jyun baan si cyu,lyun hap gok naan man si mu gou kap zyun jyun baan si cyu
联名,lyun meng,lyun meng,lyun ming
联群结队,lyun gwan git deoi,lyun kwan git dui,lyun kwan git dui
联群结队,lyun kwan git deoi,lyun kwan git dui,lyun kwan git dui
联调联试,lyun tiu lyun si,lyun tiu lyun si,lyun tiu lyun si
聕,hou,hu,hou
聖,sing,sing,sing
聖皮埃爾和密克隆,sing pei oi ji wo mat hak lung,sing pi oi ji wo mat hak lung,sing pi oi ji wo mat hak lung
聖經外傳,sing ging ngoi zyun,sing ging ngoi zyun,sing ging ngoi zyun
聖經賢傳,sing ging jin zyun,sing ging jin zyun,sing ging jin zyun
聖誕卡,sing daan kaat,sing daan kaa,sing daan kaa
聖誕咭,sing daan gat,sing daan gat,sing daan gat
聖誕咭,sing daan kaat,sing daan kaat,sing daan kaat
聖誕咭,sing daan kat,sing daan kaat,sing daan kaat
聖路易斯,sing lou jik si,sing lu jik si,sing lu jik si
聖馬利諾,sing maa lei lok,sing maa li nok,sing maa li nok
聖馬利諾,sing maa lei nok,sing maa li nok,sing maa li nok
聖馬力諾,sing maa lik lok,sing maa lik nok,sing maa lik nok
聖馬力諾,sing maa lik nok,sing maa lik nok,sing maa lik nok
聗,lip,lip,lip
聘,ping,ping,ping
聙,zing,zing,zing
聚,zeoi,zyu,zyu
聚,cou,zyu,zyu
聛,bei,bi,bi
聜,dai,dai,dai
聜,zat,zat,zat
聝,gwik,gwik,gwik
聝,gwok,gok,gok
聞,man,man,man
聟,sai,slai,sai
聠,ping,ping,ping
聡,cung,cung,cung
聢,ding,ding,ding
聣,ngai,ngai,ngai
聤,ting,ting,ting
聥,geoi,gyu,gyu
聦,cung,cung,cung
聧,kwai,kwai,kwai
聨,lyun,lyun,lyun
聩,kui,kwai,kwui
聩,ngoi,ngoi,ngoi
聩,wui,wui,wui
聪,cung,cung,cung
聫,lyun,lyun,lyun
聬,jung,jung,jung
聭,gwai,gwai,gwai
聮,lyun,lyun,lyun
聯,lyun,lyun,lyun
聯,lyun,lim,lim
聯,lyun,lin,lin
聯合國難民事務高級專員辦事處,lyun hap gwok naan man si mou gou kap zyun wan baan si cyu,lyun hap gok naan man si mu gu kap zyun jyun baan si cyu,lyun hap gok naan man si mu gou kap zyun jyun baan si cyu
聯名,lyun meng,lyun meng,lyun ming
聯羣結隊,lyun gwan git deoi,lyun kwan git dui,lyun kwan git dui
聯羣結隊,lyun kwan git deoi,lyun kwan git dui,lyun kwan git dui
聯調聯試,lyun tiu lyun si,lyun tiu lyun si,lyun tiu lyun si
聰,cung,cung,cung
聱,ngou,ngu,ngou
聲,sing,sing,sing
聲,seng,seng,sing
聲像,sing zoeng,sing zoeng,sing zoeng
聲價,sing gaa,sing gaa,sing gaa
聲勢,sing sai,sing sai,sing sai
聲卡,sing kaat,sing kaa,sing kaa
聲名,sing ming,sing ming,sing ming
聲吶,sing naap,sing naap,sing naap
聲喉澀,seng hau saap,seng hau sap,sing hau sap
聲嘶力竭,sing sai lik kit,sing slai lik kit,sing sai lik kit
聲囊,sing nong,sing nong,sing nong
聲威,sing wai,sing wai,sing wai
聲學,sing hok,sing hok,sing hok
聲張,sing zoeng,sing zoeng,sing zoeng
聲息,sing sik,sing slik,sing sik
聲情並茂,sing cing bing mau,sing cing bing mau,sing cing bing mau
聲押,sing aat,sing aap,sing aap
聲援,sing wun,sing jyun,sing jyun
聲旁,sing pong,sing pong,sing pong
聲明,sing ming,sing ming,sing ming
聲望,sing mong,sing mong,sing mong
聲東擊西,sing dung gik sai,sing dung gik slai,sing dung gik sai
聲樂,sing ngok,sing ngok,sing ngok
聲母,sing mou,sing mu,sing mu
聲波,sing bo,sing bo,sing bo
聲浪,sing long,sing long,sing long
聲淚俱下,sing leoi keoi haa,sing lui kyu haa,sing lui kyu haa
聲演,sing jin,sing jin,sing jin
聲稱,sing cing,sing cing,sing cing
聲符,sing fu,sing fu,sing fu
聲納,sing naap,sing naap,sing naap
聲能,sing nang,sing nang,sing nang
聲色,sing sik,sing sik,sing sik
聲言,sing jin,sing jin,sing jin
聲討,sing tou,sing tu,sing tou
聲訓,sing fan,sing fan,sing fan
聲說,sing syut,sing syut,sing syut
聲調,sing diu,sing diu,sing diu
聲請,sing cing,sing cing,sing cing
聲譽,sing jyu,sing jyu,sing jyu
聲速,sing cuk,sing cuk,sing cuk
聲道,sing dou,sing du,sing dou
聲部,sing bou,sing bu,sing bu
聲門,sing mun,sing mun,sing mun
聲韻,sing wan,sing wan,sing wan
聲響,sing hoeng,sing hoeng,sing hoeng
聲頻,sing pan,sing pan,sing pan
聲類,sing leoi,sing lui,sing lui
聲鵐,sing mou,sing mu,sing mu
聳,sung,slung,sung
聳人聽聞,sung jan ting man,slung jan ting man,sung jan ting man
聴,ting,ting,ting
聵,kui,kwai,kwui
聵,ngoi,ngoi,ngoi
聵,wui,wui,wui
聶,nip,nip,nip
聶,sip,nip,nip
職,zik,zik,zik
職業倦怠症,zik jip gyun toi zing,zik nip gyun doi zing,zik nip gyun doi zing
聸,daam,daam,daam
聹,ning,ning,ning
聺,cit,cai,cai
聻,zim,zim,zim
聼,teng,teng,ting
聼,ting,ting,ting
聽,ting,ting,ting
聽,teng,teng,ting
聽不懂,teng bat dung,teng bat dung,ting bat dung
聽人講,teng jan gong,teng jan gong,ting jan gong
聽住先,teng zyu sin,teng zyu slin,ting zyu sin
聽你講,teng nei gong,teng ni gong,ting ni gong
聽佢,teng keoi,teng kyu,ting kyu
聽個,teng go,teng go,ting go
聽價唔聽斗,teng gaa m teng dau,teng gaa m teng dau,ting gaa m ting dau
聽出耳油,teng ceot ji jau,teng cyut ji jau,ting cat ji jau
聽到,teng dou,teng du,ting dou
聽取,teng ceoi,teng cyu,ting cyu
聽取,ting ceoi,ting cyu,ting cyu
聽咗,teng zo,teng zo,ting zo
聽唔入耳,teng m jap ji,teng m jap ji,ting m jap ji
聽唔出,teng m ceot,teng m cyut,ting m cat
聽唔到,teng m dou,teng m du,ting m dou
聽唔明,teng m ming,teng m ming,ting m ming
聽埋,teng maai,teng maai,ting maai
聽多,teng do,teng do,ting do
聽尼士,teng ni si,teng nai si,ting nai si
聽尼士,ting nei si,ting ni si,ting ni si
聽尼士,ting ni si,ting nai si,ting nai si
聽差,ting caai,ting caai,ting caai
聽得到,teng dak dou,teng dak du,ting dak dou
聽得多,teng dak do,teng dak do,ting dak do
聽得明,teng dak ming,teng dak ming,ting dak ming
聽從,teng cung,teng cung,ting cung
聽從,ting cung,ting cung,ting cung
聽懂,teng dung,teng dung,ting dung
聽教,teng gaau,teng gaau,ting gaau
聽教,ting gaau,ting gaau,ting gaau
聽曲,teng kuk,teng kuk,ting kuk
聽書,teng syu,teng syu,ting syu
聽書,ting syu,ting syu,ting syu
聽朝,ting ziu,ting ziu,ting ziu
聽歌,teng go,teng go,ting go
聽清,teng cing,teng cing,ting cing
聽筒,teng tung,teng tung,ting tung
聽聞,teng man,teng man,ting man
聽聞,ting man,ting man,ting man
聽落,teng lok,teng lok,ting lok
聽見,teng gin,teng gin,ting gin
聽見,ting gin,ting gin,ting gin
聽見風就是雨,ting gin fung zau si jyu,ting gin fung zau si jyu,ting gin fung zau si jyu
聽診,teng can,teng can,ting can
聽診器,ting can hei,ting can hi,ting can hi
聽話,teng waa,teng waa,ting waa
聽課,teng fo,teng ko,ting fo
聽講,teng gong,teng gong,ting gong
聽過,teng gwo,teng go,ting go
聽錯,teng co,teng co,ting co
聽電話,teng din waa,teng din waa,ting din waa
聽音樂,teng jam ngok,teng jam ngok,ting jam ngok
聽香,teng hoeng,teng hoeng,ting hoeng
聽香,ting hoeng,ting hoeng,ting hoeng
聾,lung,lung,lung
聿,wat,wat,wat
聿,leot,lat,lat
聿,jyut,lyut,lyut
肁,ziu,ziu,ziu
肂,si,si,si
肂,si,sli,si
肃,suk,sluk,suk
肄,ji,ji,ji
肄,si,ji,ji
肅,suk,sluk,suk
肆,si,sli,si
肆,sei,si,si
肇,siu,siu,siu
肈,siu,ziu,ziu
肉,juk,juk,juk
肉俎砧板上,juk ceoi zam baan soeng,juk zo zam baan soeng,juk zo zam baan soeng
肉俎砧板上,juk zo zam baan soeng,juk zo zam baan soeng,juk zo zam baan soeng
肉刺,juk cek,juk cek,juk ci
肉参,juk sam,juk sam,juk sam
肉參,juk sam,juk sam,juk sam
肉松,juk sung,juk slung,juk sung
肉粒,juk lap,juk nap,juk nap
肉粒,juk nap,juk nap,juk nap
肉腾腾,juk tan tan,juk tang tang,juk tang tang
肉騰騰,juk tan tan,juk tang tang,juk tang tang
肊,jik,jik,jik
肊,ik,ik,ik
肋,lak,lak,lak
肋,laak,laak,laak
肋骨,laak gwat,laak gwat,laak gwat
肋骨,lak gwat,lak gwat,lak gwat
肌,gei,gi,gi
肍,gau,kau,kau
肎,hang,hang,hang
肏,cou,cu,cou
肏,caau,caau,caau
肐,gat,gat,gat
肐,gaak,gaak,gaak
肐,gok,gok,gok
肑,bok,bok,bok
肒,wun,wun,wun
肓,fong,fong,fong
肔,ci,ci,ci
肕,jan,jan,jan
肖,ciu,ciu,ciu
肖,siu,sliu,siu
肗,jyu,jyu,jyu
肘,zau,zau,zau
肘,zaau,zau,zau
肙,jyun,jyun,jyun
肚,tou,tu,tu
肚耽,tou dam,tu daam,tu daam
肚躭,tou dam,tu daam,tu daam
肛,gong,gong,gong
肜,jung,jung,jung
肝,gon,gon,gon
肞,caa,caa,caa
肟,ok,o,ok
肠,coeng,coeng,coeng
肠易激综合征,coeng ji gik zung hap zing,coeng ji gik zung hap zing,coeng ji gik zung hap zing
股,gu,gu,gu
股長,gu zoeng,gu zoeng,gu zoeng
股长,gu zoeng,gu zoeng,gu zoeng
肢,zi,zi,zi
肣,ham,ham,ham
肣,kam,kam,kam
肣,haam,haam,haam
肤,fu,fu,fu
肥,fei,fi,fi
肥,fai,fi,fi
肥伔伔,fei dam dam,fi dam dam,fi dam dam
肥参,fei sam,fi sam,fi sam
肥參,fei sam,fi sam,fi sam
肥嘟嘟,fei dyut dyut,fi du du,fi du du
肥墩墩,fei deon deon,fi dan dan,fi dan dan
肥婆,fei bo,fi po,fi po
肥婆,fei po,fi po,fi po
肥婆肥佬,fei po fei lou,fi po fi lu,fi po fi lu
肥崽,fei doi,fi zai,fi zai
肥差,fei caai,fi caai,fi caai
肥猪腀,fei zyu lan,fi zyu lan,fi zyu lan
肥皁泡,fei zou pou,fi zu pu,fi zou pou
肥皂泡,fei zou pou,fi zu pu,fi zou pou
肥胎,fei doi,fi toi,fi toi
肥腯腯,fei tan tan,fi det det,fi daat daat
肥豬腀,fei zyu lan,fi zyu lan,fi zyu lan
肦,baan,baan,baan
肧,pei,pi,pi
肨,bun,pong,pun
肩,gin,gin,gin
肩扛,gin gong,gin gong,gin gong
肩負重任,gin fu zung jam,gin fu zung jam,gin fu zung jam
肩负重任,gin fu zung jam,gin fu zung jam,gin fu zung jam
肪,fong,fong,fong
肫,zeon,zan,zan
肫,seon,kan,kan
肫,seon,san,san
肬,jau,jau,jau
肭,neot,nat,nat
肭,nuk,not,not
肭,nat,not,not
肮,ong,ong,ong
肮,hong,ong,ong
肮,gong,ong,ong
肮,kong,ong,ong
肮,ngong,ong,ong
肮肮脏脏,ngong ngong zong zong,ong ong zong zong,ong ong zong zong
肯,hang,hang,hang
肯,hoi,hang,hang
肯,han,hang,hang
肯肯舞,han han mou,hang hang mu,hang hang mu
肯雅,hang aa,hang ngaa,hang ngaa
肯雅,hang ngaa,hang ngaa,hang ngaa
肰,jin,jin,jin
肱,gwang,gwang,gwang
育,juk,juk,juk
育,jo,juk,juk
肳,man,man,man
肴,ngaau,ngaau,ngaau
肵,kei,ki,ki
肶,bei,bi,bi
肷,him,him,him
肷,hip,hip,hip
肸,jat,jat,jat
肸,hat,hat,hat
肸,hit,hit,hit
肹,bei,bi,bi
肹,jat,jat,jat
肺,fai,fai,fi
肺,pui,fai,fi
肺,fi,fai,fi
肺炎霉浆菌,fai jim mei zoeng kwan,fai jim mat zoeng kwan,fi jim mat zoeng kwan
肻,hang,hang,hang
肼,zeng,zeng,zing
肽,taai,taai,taai
肾,san,san,san
肿,zung,zung,zung
胀,zoeng,zoeng,zoeng
胀卜卜,zoeng bok bok,zoeng buk buk,zoeng buk buk
胀卜卜,zoeng buk buk,zoeng puk puk,zoeng puk puk
胁,hip,hip,hip
胁迫,hip baak,hip paak,hip paak
胁迫,hip bik,hip bik,hip bik
胂,san,san,san
胃,wai,wai,wai
胄,zau,zau,zau
胄裔繁衍,zau jeoi faan jin,zau jui faan jin,zau jui faan jin
胅,dit,dit,dit
胆,daam,daam,daam
胆正命平,daam zeng meng peng,daam zeng meng peng,daam zing ming ping
胆正命平,daam zing ming ping,daam zing ming ping,daam zing ming ping
胆生毛,daam saang mou,daam saang mu,daam saang mou
胆生毛,daam sang mou,daam saang mu,daam saang mou
胆生石,daam saang sek,daam saang sek,daam saang sek
胇,bat,bat,bat
胇,fai,fai,fai
胈,bat,baat,bat
胉,bok,bok,bok
胊,keoi,kyu,kyu
胋,tim,tim,tim
背,bui,bui,bui
背,bui,bai,bui
背地里,bui dei leoi,bui di lyu,bui di lyu
胍,gwaa,gwaa,gwaa
胍,gwaa,gu,gu
胎,toi,toi,toi
胎,doi,toi,toi
胎,taai,toi,toi
胎生,toi saang,toi saang,toi saang
胎生,toi sang,toi saang,toi saang
胏,zi,zi,zi
胐,fat,fat,fat
胐,pui,wat,wat
胐,deot,wat,wat
胑,zi,zi,zi
胒,nei,ni,ni
胓,ping,ping,ping
胔,zi,zi,zi
胔,ci,zi,zi
胕,fu,fu,fu
胖,pun,pun,pun
胖,bun,pong,pun
胖墩墩,bun deon deon,pong dan dan,pun dan dan
胗,zan,zan,zan
胗,can,kan,kan
胗,can,san,san
胘,jin,jin,jin
胙,zou,zu,zu
胚,pui,pui,pui
胚,pei,pui,pui
胚,bui,pui,pui
胚囊泡,pui nong pou,pui nong pu,pui nong pou
胚泡,pui pou,pui pu,pui pou
胚胎,bui toi,pui toi,pui toi
胚胎,pui toi,pui toi,pui toi
胚胎发生,pui toi faat sang,pui toi faat saang,pui toi faat saang
胚胎学,pui toi hok,pui toi hok,pui toi hok
胚胎學,pui toi hok,pui toi hok,pui toi hok
胚胎發生,pui toi faat sang,pui toi faat saang,pui toi faat saang
胚芽,bui ngaa,pui ngaa,pui ngaa
胚芽,pui ngaa,pui ngaa,pui ngaa
胚芽米,pui ngaa mai,pui ngaa mai,pui ngaa mai
胚芽鞘,pui ngaa ciu,pui ngaa ciu,pui ngaa ciu
胛,gaap,gaap,gaap
胜,sing,sing,sing
胜,saang,sing,sing
胝,zi,zi,zi
胝,dai,dai,dai
胞,baau,baau,baau
胞,paau,beu,baau
胟,mou,mu,mu
胠,keoi,kyu,kyu
胡,wu,wu,wu
胡乐,wu ngok,wu ngok,wu ngok
胡樂,wu ngok,wu ngok,wu ngok
胡笙,wu saang,wu saang,wu saang
胡裏胡塗,wu lei wu tou,wu li wu tu,wu li wu tu
胡裡胡塗,wu lei wu tou,wu li wu tu,wu li wu tu
胢,kaa,kaa,kaa
胣,ci,ci,ci
胤,jan,jan,jan
胥,seoi,slyu,syu
胦,joeng,joeng,joeng
胧,lung,lung,lung
胨,dung,dung,dung
胩,kaa,kaa,kaa
胪,lou,lu,lu
胫,ging,ging,ging
胫,hing,ging,ging
胬,nou,nu,nou
胭,jin,jin,jin
胮,pong,pong,pong
胮,pong,paang,paang
胯,kwaa,kwaa,kwaa
胯,fu,kwaa,kwaa
胰,ji,ji,ji
胱,gwong,gong,gong
胲,goi,goi,goi
胲,hoi,hoi,hoi
胲,haai,haai,haai
胳,gaak,gaak,gaak
胳,gat,gaak,gaak
胳,gok,gaak,gaak
胳,lok,gaak,gaak
胳肋底,gaak laak dai,gaak laak dai,gaak laak dai
胳肋底,gaak lak dai,gaak lak dai,gaak lak dai
胳膀,gaak pong,gaak pong,gaak pong
胴,dung,dung,dung
胵,ci,ci,ci
胶,gaau,gaau,gaau
胶,gaau,geu,gaau
胶盒,gaau haap,gaau hap,gaau hap
胶盒,gaau hap,gaau hap,gaau hap
胶箍,gaau gu,gaau ku,gaau ku
胶箍,gaau ku,gaau ku,gaau ku
胷,hung,hung,hung
胸,hung,hung,hung
胸脯,hung pou,hung pu,hung pu
胹,ji,ji,ji
胺,on,on,on
胺,aat,aat,aat
胺,aat,ngat,ngat
胺馠馠,aat ham ham,aat ham ham,aat ham ham
胻,hang,hang,hang
胼,pin,pin,pin
能,nang,nang,nang
能,toi,nang,nang
能,noi,nang,nang
能,lan,nang,nang
能厨,lan cyu,nang cyu,nang cyu
能廚,lan cyu,nang cyu,nang cyu
胾,zi,zi,zi
胿,gwai,gwai,gwai
脀,zing,zing,zing
脁,jiu,tiu,tiu
脁,tiu,tiu,tiu
脂,zi,zi,zi
脃,ceoi,cui,cui
脄,mui,mui,mui
脅,hip,hip,hip
脅迫,hip baak,hip paak,hip paak
脅迫,hip bik,hip bik,hip bik
脆,ceoi,cui,cui
脆卜卜,ceoi bok bok,cui buk buk,cui buk buk
脇,hip,hip,hip
脈,mak,mak,mak
脈,maak,mak,mak
脉,mak,mak,mak
脉,maak,mak,mak
脊,zek,zek,zek
脊,zik,zik,zik
脋,hip,hip,hip
脌,nin,nin,nin
脌,nin,nen,nin
脍,kui,kwai,kwui
脍,kui,kui,kui
脎,saat,slaat,saat
脏,zong,zong,zong
脐,ci,ci,ci
脑,nou,nu,nou
脑内啡,nou naap fe,nu nui fe,nou nui fe
脑囟未生埋,nou seon mei saang maai,nu slan mi saang maai,nou san mi saang maai
脑囟都未生埋,nou seon dou mei saang maai,nu slan du mi saang maai,nou san du mi saang maai
脑子有泡,nou zi jau pou,nu zi jau pu,nou zi jau pou
脑生喺屎忽度,nou saang hai si fat dou,nu saang hai si fat du,nou saang hai si fat du
脑笋未生埋,nou seon mei saang maai,nu slan mi saang maai,nou san mi saang maai
脒,mai,mi,mai
脓,nung,nung,nung
脔,lyun,lyun,lyun
脕,maan,maan,maan
脖,but,but,but
脖領,but leng,but leng,but ling
脖领,but leng,but leng,but ling
脗,man,man,man
脘,gun,gun,gun
脘,wun,wun,wun
脙,jau,jau,jau
脚,goek,goek,goek
脚,gok,goek,goek
脚,geot,goek,goek
脚仔软,goek zai jyu,goek zai jyun,goek zai jyun
脚仔软,goek zai jyun,goek zai jyun,goek zai jyun
脚瘸,goek koe,goek kwe,goek kwe
脚瘿,goek ang,goek jing,goek jing
脚骹,goek gaau,goek gaau,goek gaau
脛,ging,ging,ging
脛,hing,ging,ging
脜,jau,jau,jau
脝,hang,hang,hang
脞,co,co,co
脟,lyut,lyut,lyut
脟,lyun,lyut,lyut
脠,zin,zin,zin
脡,ting,ting,ting
脢,mui,mui,mui
脣,seon,san,san
脤,san,san,san
脥,him,him,him
脥,hip,hip,hip
脥,gaap,gaap,gaap
脦,tik,tak,tik
脧,zyun,zyun,zyun
脧,zeoi,zui,zui
脧,zoe,zui,zui
脧,ceoi,zui,zui
脨,cuk,cuk,cuk
脩,sau,slau,sau
脪,jan,jan,jan
脫,tyut,tyut,tyut
脫,teoi,tyut,tyut
脫脫,teoi teoi,tyut tyut,tyut tyut
脬,paau,paau,paau
脬,paau,peu,paau
脭,cing,cing,cing
脮,neoi,nyu,nai
脯,pou,pu,pu
脯,fu,pu,pu
脰,dau,dau,dau
脱,tyut,tyut,tyut
脱,teoi,tyut,tyut
脱脱,teoi teoi,tyut tyut,tyut tyut
脲,niu,niu,niu
脳,nou,nu,nou
脴,pei,pi,pi
脵,ng,ng,ng
脶,lo,lo,lo
脶,gwaa,lo,lo
脶,wo,lo,lo
脷,lei,li,li
脸,lim,lim,lim
脹,zoeng,zoeng,zoeng
脹卜卜,zoeng bok bok,zoeng buk buk,zoeng buk buk
脹卜卜,zoeng buk buk,zoeng puk puk,zoeng puk puk
脺,ceoi,cui,cui
脺,seoi,cui,cui
脻,zip,zip,zip
脼,loeng,loeng,loeng
脽,seoi,sui,sui
脾,pei,pi,pi
脾,bei,pi,pi
脾罅,bei laa,pi le,pi le
脿,biu,biu,biu
腀,leon,lan,lan
腀,lan,lan,lan
腁,pin,pin,pin
腂,leoi,lui,lui
腃,kyun,kyun,kyun
腃,wai,wai,wai
腄,ceoi,cui,cui
腅,daam,daam,daam
腆,tin,tin,tin
腆,tin,dim,dim
腇,neoi,nui,nui
腈,cing,zing,zing
腈,cing,cing,cing
腉,laai,naai,naai
腉,naai,naai,naai
腊,laap,laap,laap
腊,sik,slik,sik
腊,lip,slik,sik
腋,jik,jik,jik
腋,jat,jik,jik
腌,jim,jim,jim
腌,jip,jip,jip
腌,ap,jip,jip
腌尖,jim zim,jim zim,jim zim
腌悶,jim mun,jim mun,jim mun
腌肉,jim juk,jim juk,jim juk
腌肉,jip juk,jip juk,jip juk
腌臜,ap zap,jip zim,jip zim
腌臜,jim zim,jim zim,jim zim
腌臢,ap zap,jip zim,jip zim
腌臢,jim zim,jim zim,jim zim
腌菜,jim coi,jim coi,jim coi
腌菜,jip coi,jip coi,jip coi
腌闷,jim mun,jim mun,jim mun
腍,jam,nam,nam
腍,nam,nam,nam
腍啤啤,nam be be,nam be be,nam be be
腍啤啤,nam bet bet,nam bi bi,nam bi bi
腍坺坺,nam bet bet,nam pet pet,nam paat paat
腍瘪瘪,nam bet bet,nam bit bit,nam bit bit
腍癟癟,nam bet bet,nam bit bit,nam bit bit
腎,san,san,san
腏,zyut,zyut,zyut
腏,zyut,cot,cot
腐,fu,fu,fu
腑,fu,fu,fu
腒,geoi,gyu,gyu
腒,keoi,kyu,kyu
腓,fei,fi,fi
腔,hong,hong,hong
腔,hong,koeng,koeng
腕,wun,wun,wun
腖,dung,dung,dung
腗,pei,pi,pi
腘,gwok,gok,gok
腙,zung,zung,zung
腚,ding,ding,ding
腛,ak,ak,ak
腜,mui,mui,mui
腝,ji,ji,ji
腝,jyun,jyun,jyun
腞,syun,slyun,syun
腟,cat,cat,cat
腠,cau,cau,cau
腠,zau,cau,cau
腡,lo,lo,lo
腡,gwaa,lo,lo
腡,wo,lo,lo
腢,ngau,ngau,ngau
腢,jyu,jyu,jyu
腣,dai,dai,dai
腤,am,am,am
腥,sing,sling,sing
腥,seng,sleng,sing
腥羶,sing zin,sling zin,sing zin
腥臭味,sing cau mei,sling cau mi,sing cau mi
腦,nou,nu,nou
腦內啡,nou naap fe,nu nui fe,nou nui fe
腦囟未生埋,nou seon mei saang maai,nu slan mi saang maai,nou san mi saang maai
腦囟都未生埋,nou seon dou mei saang maai,nu slan du mi saang maai,nou san du mi saang maai
腦子有泡,nou zi jau pou,nu zi jau pu,nou zi jau pou
腦生喺屎忽度,nou saang hai si fat dou,nu saang hai si fat du,nou saang hai si fat du
腦筍未生埋,nou seon mei saang maai,nu slan mi saang maai,nou san mi saang maai
腧,syu,syu,syu
腨,syun,syun,syun
腩,naam,naam,naam
腪,wan,wan,wan
腫,zung,zung,zung
腬,nau,nau,nau
腭,ngok,ngok,ngok
腮,soi,sloi,soi
腮頰,soi haap,sloi haap,soi haap
腮颊,soi haap,sloi haap,soi haap
腮骹骨,soi gaau gwat,sloi gaau gwat,soi gaau gwat
腯,dat,dat,dat
腯,dyut,dyut,dat
腯,teon,tan,tan
腯,det,det,daat
腯,tan,det,daat
腰,jiu,jiu,jiu
腰帎,jiu zam,jiu dam,jiu dam
腰心腰肺,jiu sam jiu fi,jiu slam jiu fai,jiu sam jiu fi
腱,gin,gin,gin
腱,zin,gin,gin
腲,wai,wai,wai
腳,goek,goek,goek
腳,gok,goek,goek
腳,geot,goek,goek
腳仔軟,goek zai jyu,goek zai jyun,goek zai jyun
腳仔軟,goek zai jyun,goek zai jyun,goek zai jyun
腳瘸,goek koe,goek kwe,goek kwe
腳癭,goek ang,goek jing,goek jing
腳骹,goek gaau,goek gaau,goek gaau
腴,jyu,jyu,jyu
腵,gaa,gaa,gaa
腶,dyun,dyun,dyun
腷,bik,bik,bik
腸,coeng,coeng,coeng
腸易激綜合徵,coeng ji gik zung hap zing,coeng ji gik zung hap zing,coeng ji gik zung hap zing
腹,fuk,fuk,fuk
腺,sin,slin,sin
腻,nei,ni,ni
腻,nau,nau,nau
腼,tin,tin,tin
腼,min,min,min
腼,din,min,min
腼脸,tin lim,tin lim,tin lim
腽,wat,wat,wat
腾,tang,tang,tang
腾,tan,tang,tang
腾腾震,tan tan zan,tang tang zan,tang tang zan
腿,teoi,tui,tui
膀,bong,bong,bong
膀,pong,pong,pong
膀大腰圆,pong daai jiu jyun,pong daai jiu jyun,pong daai jiu jyun
膀大腰圓,pong daai jiu jyun,pong daai jiu jyun,pong daai jiu jyun
膀头凸额,pong tau dat ngaak,pong tau dat ngak,pong tau dat ngaak
膀头突额,pong tau dat ngaak,pong tau dat ngak,pong tau dat ngaak
膀子,pong zi,pong zi,pong zi
膀胱,pong gwong,pong gong,pong gong
膀臂,pong bei,pong bi,pong bi
膀頭凸額,pong tau dat ngaak,pong tau dat ngak,pong tau dat ngaak
膀頭突額,pong tau dat ngaak,pong tau dat ngak,pong tau dat ngaak
膁,him,him,him
膁,hip,hip,hip
膁,jim,jim,jim
膂,leoi,lyu,lyu
膃,wat,wat,wat
膄,sau,sau,sau
膅,tong,tong,tong
膆,sou,slu,su
膆,seoi,slyu,syu
膆,seoi,slui,sui
膇,zeoi,zui,zui
膇,deoi,dui,dui
膈,gaak,gaak,gaak
膉,jik,jik,jik
膉,jik,jek,jek
膊,bok,bok,bok
膋,liu,liu,liu
膌,zek,zik,zik
膌,zik,zik,zik
